"Fecha","Porcentaje (%)"
"2002/05/03",28.2
"2002/05/10",28.05
"2002/05/17",28.25
"2002/05/24",28.16
"2002/05/31",28.05
"2002/06/07",27.79
"2002/06/14",27.91
"2002/06/21",28.05
"2002/06/28",27.75
"2002/07/05",27.65
"2002/07/12",27.84
"2002/07/19",27.67
"2002/07/26",27.62
"2002/08/02",27.52
"2002/08/09",27.5
"2002/08/16",27.59
"2002/08/23",27.74
"2002/08/30",27
"2002/09/06",27.3
"2002/09/13",27.45
"2002/09/20",27.31
"2002/09/27",27.64
"2002/10/04",27.2
"2002/10/11",27.01
"2002/10/18",27.3
"2002/10/25",27.21
"2002/11/01",27.21
"2002/11/08",27.08
"2002/11/15",27.18
"2002/11/22",27.25
"2002/11/29",27.23
"2002/12/06",27.14
"2002/12/13",27.03
"2002/12/20",26.77
"2002/12/27",26.85
"2003/01/03",26.35
"2003/01/10",26.97
"2003/01/17",27.25
"2003/01/24",27.46
"2003/01/31",27.46
"2003/02/07",27.12
"2003/02/14",27.37
"2003/02/21",27.32
"2003/02/28",27.67
"2003/03/07",27.1
"2003/03/14",27.09
"2003/03/21",27.13
"2003/03/28",27.14
"2003/04/04",26.84
"2003/04/11",27.18
"2003/04/18",27.41
"2003/04/25",27.28
"2003/05/02",26.98
"2003/05/09",27.22
"2003/05/16",27.16
"2003/05/23",27.27
"2003/05/30",27.05
"2003/06/06",26.76
"2003/06/13",26.66
"2003/06/20",26.69
"2003/06/27",26.46
"2003/07/04",26.62
"2003/07/11",26.77
"2003/07/18",26.84
"2003/07/25",26.7
"2003/08/01",26.66
"2003/08/08",26.98
"2003/08/15",27.03
"2003/08/22",27.26
"2003/08/29",26.85
"2003/09/05",26.91
"2003/09/12",27.13
"2003/09/19",27.26
"2003/09/26",27.08
"2003/10/03",27.21
"2003/10/10",27.16
"2003/10/17",27.46
"2003/10/24",27.24
"2003/10/31",26.91
"2003/11/07",26.8
"2003/11/14",26.82
"2003/11/21",27.25
"2003/11/28",27
"2003/12/05",26.93
"2003/12/12",26.65
"2003/12/19",26.74
"2003/12/26",26.33
"2004/01/02",27.04
"2004/01/09",26.69
"2004/01/16",26.83
"2004/01/23",26.97
"2004/01/30",26.56
"2004/02/06",26.76
"2004/02/13",26.79
"2004/02/20",27.18
"2004/02/27",26.34
"2004/03/05",26.77
"2004/03/12",26.68
"2004/03/19",26.78
"2004/03/26",26.71
"2004/04/02",26.6
"2004/04/09",26.59
"2004/04/16",26.69
"2004/04/23",26.73
"2004/04/30",26.25
"2004/05/07",26.36
"2004/05/14",26.4
"2004/05/21",26.29
"2004/05/28",25.92
"2004/06/04",26.08
"2004/06/11",26.08
"2004/06/18",26.2
"2004/06/25",26.13
"2004/07/02",25.76
"2004/07/09",25.76
"2004/07/16",25.99
"2004/07/23",26.12
"2004/07/30",25.96
"2004/08/06",25.69
"2004/08/13",25.51
"2004/08/20",25.75
"2004/08/27",25.67
"2004/09/03",25.54
"2004/09/10",25.57
"2004/09/17",25.62
"2004/09/24",25.63
"2004/10/01",25.55
"2004/10/08",25.46
"2004/10/15",25.27
"2004/10/22",25.3
"2004/10/29",25.05
"2004/11/05",25.58
"2004/11/12",25.51
"2004/11/19",25.76
"2004/11/26",25.71
"2004/12/03",25.16
"2004/12/10",25.09
"2004/12/17",25.04
"2004/12/24",24.98
"2004/12/31",24.34
"2005/01/07",24.86
"2005/01/14",25.59
"2005/01/21",25.66
"2005/01/28",25.43
"2005/02/04",25.16
"2005/02/11",25.39
"2005/02/18",25.62
"2005/02/25",25.31
"2005/03/04",24.91
"2005/03/11",24.93
"2005/03/18",24.77
"2005/03/25",24.87
"2005/04/01",25.09
"2005/04/08",24.74
