"Fecha","Porcentaje (%)"
"1955/12/31",2.03
"1956/12/31",7.91
"1957/12/31",20.69
"1958/12/31",7.98
"1959/12/31",7.81
"1960/12/31",7.35
"1961/12/31",5.74
"1962/12/31",6.3
"1963/12/31",33.6
"1964/12/31",8.8
"1965/12/31",14.44
"1966/12/31",12.86
"1967/12/31",7.17
"1968/12/31",6.51
"1969/12/31",8.63
"1970/12/31",6.58
"1971/12/31",14.03
"1972/12/31",13.99
"1973/12/31",24.08
"1974/12/31",26.35
"1975/12/31",17.77
"1976/12/31",25.76
"1977/12/31",28.71
"1978/12/31",18.42
"1979/12/31",28.8
"1980/12/31",25.85
"1981/12/31",26.36
"1982/12/31",24.03
"1983/12/31",16.64
"1984/12/31",18.28
"1985/12/31",22.45
"1986/12/31",20.95
"1987/12/31",24.02
"1988/12/31",28.12
"1989/12/31",26.12
"1990/12/31",32.36
"1991/12/31",26.82
"1992/12/31",25.13
"1993/12/31",22.6
"1994/12/31",22.59
"1995/12/31",19.46
"1996/12/31",21.63
"1997/12/31",17.68
"1998/12/31",16.7
"1999/12/31",9.2317
"2000/12/31",8.7482
"2001/12/31",7.6464
"2002/12/31",6.9928
"2003/12/31",6.4906
"2004/12/31",5.4975
"2005/12/31",4.8549
"2006/12/31",4.4779
"2007/12/31",5.6941
"2008/12/31",7.6748
"2009/12/31",2.001808
"2010/12/31",3.171222
"2011/12/31",3.725787
"2012/12/31",2.435345
"2013/12/31",1.937815
"2014/12/31",3.65768
"2015/12/31",6.769089
"2016/12/31",5.747408
"2017/12/31",4.088622
"2018/12/31",3.178001
"2019/12/31",3.8043
"2020/12/31",1.61045
"2021/12/31",5.62267
